Description,Manufacturer,Manufacturer Part Number,Additional requirements,Reference designator,Quantity
"302010270, SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201, A.1 (Design)",YAGEO,CC0201MRX5R5BB105,,C93 C108 C136 C137 C138 C139 C140 C141 C142 C143 C144 C157 C160 C163 C166 C169 C177 C207 C215 C225 C295,21
"302010271, SMD CAP Ceramic 100nF-10V-10%-X5R;0201, A.1 (Design)",YAGEO,CC0201KRX5R6BB104,,C4 C7 C10 C20 C38 C39 C40 C41 C42 C43 C55 C56 C58 C59 C61 C65 C66 C67 C68 C70 C71 C72 C73 C74 C76 C78 C79 C81 C84 C85 C90 C92 C94 C99 C100 C101 C102 C107 C114 C115 C116 C117 C118 C119 C120 C121 C122 C123 C124 C130 C131 C145 C148 C151 C154 C155 C158 C161 C164 C167 C170 C173 C176 C180 C181 C182 C183 C184 C185 C186 C187 C188 C189 C190 C191 C192 C193 C194 C195 C196 C197 C198 C199 C200 C201 C202 C205 C208 C209 C210 C211 C212 C213 C216 C217 C218 C219 C220 C221 C222 C223 C226 C227 C228 C229 C230 C236 C239 C240 C241 C242 C243 C245 C247 C248 C249 C251 C253 C255 C259 C260 C262 C264 C266 C267 C270 C272 C273 C274 C276 C294 C296 C297 C298 C300,135
"302010304, SMD CAP Ceramic;7.5pF-50V-0.25pF-C0G-0402, A.1 (Design)",Murata,GJM1555C1H7R5CB01D,,C35 C36,2
"302010389, SMD CAP Ceramic 1nF-16V-10%-X7R;0201, A.1 (Design)",YAGEO,CC0201KRX7R7BB102,,C269 C281 C282,3
"302010411, SMD CAP Ceramic 22uF-10V-20%-X5R;0603, A.1 (Design)",YAGEO,CC0603MRX5R6BB226,,C24 C37 C96 C109,4
"302010420, SMD CAP Ceramic 100pF-50V-5%-NP0;0201, A.1 (Design)",YAGEO,CC0201JRNPO9BN101,,C18 C19 C21 C22 C25 C105 C106,7
"302010424, SMD CAP 12pF-25V-5%-NP0;0201, A.1 (Design)",YAGEO,CC0201JRNPO8BN120,,C45,1
"302010668, SMD CAP Ceramic 120pF-25V-5%-NP0;0402, A.2 (Design)",Murata,GRM1555C1E121JA01D,,C98,1
"302010747, SMD CAP Ceramic 100uF-10V-20%-X5R;1206, A.1 (Design)",TDK,C3216X5R1A107M160AC,,C110,1
"302010825, SMD CAP Ceramic 24pF-50V-5%-NPO;0402, A.1 (Design)",YAGEO,CC0402JRNPO9BN240,,C33 C34,2
"302011831, SMD CAP Ceramic 10nF-6.3V-10%-X5R;0201, A.2 (Design)",Yageo,CC0201KRX5R5BB103,,C3 C6 C9 C23 C82 C146 C149 C152 C156 C159 C162 C165 C168 C171 C174 C232,16
"302011837, SMD CAP Ceramic 0.8PF-50V-0.01pF-C0G/NP0;0201, A.2 (Design)",Murata Electronics North America,GRM0335C1HR80BA01D,,C27,1
"302011962, SMD CAP Ceramic 1nF-2kV-10%-X7R;1206, A.3 (Design)",YAGEO,CC1206KKX7RDBB102,,C97,1
"302012819, SMD CAP Ceramic 2.2uF-10V-10%-X5R;0402, A.1 (Design)",YAGEO,CC0402KRX5R6BB225,,C46 C47 C48 C49 C52 C53 C80 C86 C103 C112 C113 C125,12
"302012904, SMD CAP Ceramic 2.4pF-25V-0.25pF-COG;0201, A.3 (Design)",Murata,GJM0335C1E2R4CB01D,,C26 C30,2
"302012906, SMD CAP Ceramic 3.9pF-50V-0.1pF-COG/NOP;0201, A.3 (Design)",Murata,GJM0335C1H3R9BB01D,,C31,1
"302012908, SMD CAP Ceramic 4.7pF-50V-0.25pF-COG;0201, A.4 (Design)",Murata,GJM0335C1H4R7BB01D,,C29,1
"302013024, SMD CAP Ceramic 3pF-50V-0.1pF-NPO;0201, A.2 (Design)",YAGEO,CC0201BRNPO9BN3R0,,C28,1
"303010096, SMD Inductor;4.7nH-5%-350mA;0201, A.1 (Design)",Murata,LQP03TN4N7J02D,,L8,1
"303011219, SMD Inductor 1NH-0.05nH-1.1A;0201, A.2 (Design)",Murata Electronics North America,LQP03HQ1N0W02D,,L6 L10,2
"303011225, SMD Inductor 3.9nH-0.1nH-500mA;0201, A.2 (Design)",Murata Electronics North America,LQP03HQ3N9B02D,,L9,1
"303011320, SMD FIXED Inductor 6.8UH-20%-550MA;0805, A.2 (Design)",TDK,MLZ2012N6R8LT000,,L3,1
"303011636, SMD Inductor;2.5nH-0.1nH-600mA;0201, A.3 (Design)",Murata,LQP03HQ2N5B02D,,L12,1
"303011637, SMD Inductor;12nH-3%-180mA;0201, A.3 (Design)",Murata,LQP03TG12NH02D,,L5 L11,2
"303011639, SMD Inductor;27nH-3%-120mA;0201, A.3 (Design)",Murata,LQP03TG27NH02D,,L7,1
"303011708, SMD Inductor 0.33uH-20%-0.018R-6.9A;2P-2520, A.2 (Design)",CODACA,CSTB252012H-R33M,,L14,1
"303011709, SMD Inductor 0.47uH-20%-0.0215R-5.0A;2P-2520, A.2 (Design)",CODACA,CSTB252012H-R47M,,L16 L17 L18,3
"303011791, SMD Inductor 2.2uH-20%-2A;L2.0*W1.6*H1.0mm, A.2 (Design)",CODACA,CSTB201610H-2R2M,,L19,1
"303030040, SMD Ferrite Bead 120R-1.3A;0402, A.2 (Design)",Murata,BLM15PD121SN1D,,FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8 FB9 FB10 FB11 FB12 FB13 FB14 FB15 FB16 FB17 FB18 FB19 FB20 FB21 FB22 FB23 FB24 FB25 FB26 FB27 FB28 FB29 FB32 FB33 FB34 FB35 FL2,34
"303050063, SMD Common Mode Filter 90R-400mA;4P-L2.0*W1.2*H1.4m, A.2 (Design)",Bourns,SRF2012-900YA,,L4 L13,2
"303050403, SMD Common Mode Filter 500uH 1000R;4P-L9.2*W6.0*H5.0mm, A.2 (Design)",CODACA,CSTA0950RB-501,,L1 L2,2
"303050463, SMD Common Mode Filter 90R-100mA;4P-L0.85*W0.65*H0.40mm, A.2 (Design)",Sunlord,SDMM0806H-2-900T,,L15 L20 L21 L22 L23 L24,6
"304020024, SMD Diode Schottky 30V-1A;DO-214AC, A.2 (Design)",Diodes,B130L-13-F,,D21 D22,2
"304020782, SMD Diode Schottky 30V-200mA;SOD-523, A.3 (Design)",ON,RB520S30T1G,,D3 D11 D12 D23 D32 D33 D34 D35 D46 D47 D48 D49 D50 D51 D53 D54 D55 D56 D58 D59 D61 D66,22
"304050798, SMD TVS DIODE 3.6V-6.4V-1pF;X1SON(2), A.3 (Design)",TI,TPD1E1B04DPYR,,D7 D8 D9 D10 D13 D14 D15 D16 D17 D18 D19 D20 D24 D25 D26 D29 D30 D31 D36 D37 D38 D39 D40 D41 D42 D43 D44 D45 D52,29
"304051038, SMD Diode TVS 3.6V-6.4V-0.13pF;X1SON(2), A.3 (Design)",TI,TPD1E0B04DPYR,,D27 D28 D73 D74,4
"304051039, SMD Diode TVS 5V;SON-6(2x2mm), A.2 (Design)",TI,TVS0500DRVR,,U4 U14,2
"304060074, SMD Diode ESD 0.05pF;0402, A.3 (Design)",SEMITEL,ESDPSA0402V05,,D4 D5 D57 D60,4
"304060294, SMD Diode Array ESD;4 Channel,6 Gbps,5.5V;USON-10, A.4 (Design)",TI,TPD4E05U06DQAR,Air=±15KV；Contact=±12KV,D2 D1,2
"304090121, SMD LED Clear-Green;0402, A.1 (Design)",Bright,BL-HGE37A-AV-TRB,(正贴),LED2 LED3 LED4 LED5 LED6 LED7,6
"304090122, SMD LED Clear-Red;0402, A.1 (Design)",Bright,BL-HUB37A-AV-TRB,(正贴),LED11,1
"304090746, SMD LED Clear-Yellow;0402, A.2 (Design)",Everlight,16-213/Y2C-AN2Q1B/3T,(正贴),LED1 LED8 LED9 LED10,4
"305030000, SMD MOSFET N-CH 50V-200mA;SOT-323-3, A.3 (Design)",Diodes,BSS138W-7-F,,Q6 Q7 Q8 Q9,4
"305030010, SMD MOSFET P-CH 30V-4.3A;SOT-23, A.3 (Design)",长电,CJ3407,,Q5,1
"305030659, SMD MOSFET N-CH 20V -630MA ；SOT-523, A.2 (Design)",Diodes,DMG1012T-7,,Q3 Q4 Q10 Q13 Q14,5
"305050191, SMD Transistor Array 2PNP 45V-0.1A;SOT36, A.2 (Design)",Diodes Incorporated,BCM857BS-7-F,,Q12,1
"306010138, SMD Crystal 32.768KHz-12.5pF-20ppm-2P-3.2*1.5*0.9mm, A.3 (Design)",EPSON,FC-135 32.7680KA-A3,(指定品牌),X3 X5 X7,3
"306011049, SMD Crystal;25MHz-18pF-20ppm;SMD-2520-4P-L2.5*W2.0*H0.6mm, A.2 (Design)",Interquip,5ZAA25000182TFA0Q3,,X2,1
"306011062, SMD Crystal 48MHz-7pF-10ppm-50R;4P-L2.0*W1.6*H0.6mm, A.3 (Design)",Interquip,5NAA48000071SF50Q2,,X4,1
"306011162, SMD Crystal 25MHz-8pF-10ppm-30R;4P-SMD-L3.2*W2.5*H0.8mm, A.2 (Design)",Interquip,5YAA25000081TF30Q2,,X6,1
"307010054, SMD PPTC;100mA-15V;0603, A.1 (Design)",Bourns,MF-FSMF010X,,F1,1
"310011537, SMD IC MPU;AM62x Sitara Processor;BGA425, A.5 (Design)",TI,AM6254ATCGHAALW,,U1,1
"310031584, SMD IC PWR MGR EFUSE;6.5V-2.8A-6SON, A.3 (Design)",Texas Instruments,TPS25200DRVR,TI;TPS25200DRVT,U22,1
"310032000, SMD IC PMIC;LDO-ADJ-500mA;SOT23-5, A.2 (Design)",TI,TLV75801PDBVR,,U16,1
"310032357, SMD IC Load Switch;1V to 5.5V,2A,52mOhm;SOT-23-6, A.2 (Design)",TI,TPS22918DBVR,,U21,1
"310032515, SMD IC PMIC;LOAD-SWITCH-500mA;SOT23-6, A.2 (Design)",TI,TPD3S014DBVR,,U8,1
"310032516, SMD IC PMIC;DCDC Buck-ADJ ,2.5-V to 5.5-V Input, 4-A;VSON-6, A.2 (Design)",TI,TLV62595DMQR,,U12,1
"310032517, SMD IC PMIC;VQFN-32, A.4 (Design)",TI,TPS6521903RHBR,,U17,1
"310050078, SMD IC Logic;US8(8-VFSOP, A.1 (Design)",TI,SN74LVC2G241DCUR,,U10,1
"310060581, SMD IC RF Balun;10P-L2.0*W1.25*H1.00mm, A.2 (Design)",Johanson,0900PC15A0036E,,B1,1
"310060642, SMD IC RF Switch-20MHz-6GHz SP3T;QFN-8, A.2 (Design)",SKYWORKS,SKY13317-373LF,,U15,1
"310071286, SMD IC 10Base-T1L 10M Single Pair Ethernet Transceiver;QFN32, A.2 (Design)",TI,DP83TD510ERHBR,,U13,1
